var1,var2,qv1,qv2,qv12,interaction,,,,,,,,,,,,,,,,,,,
1,X1,X2,0.58576213189451,0.886453812550463,0.897914276448089,"Enhance, bi-",,,,,,,,,,,,,,,,,,
2,X1,X3,0.58576213189451,0.11348507002075,0.755236757859301,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
3,X1,X4,0.58576213189451,0.349717914825921,0.641561927531047,"Enhance, bi-",,,,,,,,,,,,,,,,,,
4,X1,X5,0.58576213189451,0.587666350201619,0.710091429798597,"Enhance, bi-",,,,,,,,,,,,,,,,,,
5,X1,X6,0.58576213189451,0.110875888876285,0.693217896887782,"Enhance, bi-",,,,,,,,,,,,,,,,,,
6,X1,X7,0.58576213189451,0.646154160063816,0.759285871261305,"Enhance, bi-",,,,X1,0.58576213189451,,,,,,,,,,,,,
7,X1,X8,0.58576213189451,0.0679363434928403,0.607312221724217,"Enhance, bi-",,,,X2,0.897914276448089,0.886453812550463,,,,,,,,,,,,
8,X1,X9,0.58576213189451,0.542348000993967,0.689078122940288,"Enhance, bi-",,,,X3,0.755236757859301,0.961283937226647,0.11348507002075,,,,,,,,,,,
9,X1,X10,0.58576213189451,0.40479988323152,0.659416034133543,"Enhance, bi-",,,,X4,0.641561927531047,0.920679190644409,0.63732972325929,0.349717914825921,,,,,,,,,,
10,X1,X11,0.58576213189451,0.104532833355218,0.613056438026794,"Enhance, bi-",,,,X5,0.710091429798597,0.892314196442487,0.665062160844012,0.653097367592446,0.587666350201619,,,,,,,,,
11,X1,X12,0.58576213189451,0.169565873577552,0.613574054123944,"Enhance, bi-",,,,X6,0.693217896887782,0.904962249482058,0.224275402243902,0.397722946029696,0.649106386437794,0.110875888876285,,,,,,,,
12,X1,X13,0.58576213189451,0.175544095870405,0.615952796441983,"Enhance, bi-",,,,X7,0.759285871261305,0.909835543429648,0.664534848375729,0.68682809901697,0.717611561971026,0.689894677141201,0.646154160063816,,,,,,,
13,X1,X14,0.58576213189451,0.0916115378899529,0.592574321116126,"Enhance, bi-",,,,X8,0.607312221724217,0.888447879568057,0.174651214862548,0.382580120211611,0.598869730751933,0.153648021222298,0.651613072348172,0.0679363434928403,,,,,,
14,X2,X3,0.886453812550463,0.11348507002075,0.961283937226647,"Enhance, bi-",,,,X9,0.689078122940288,0.892946602503353,0.624798240367024,0.597441578203684,0.656907622713248,0.631506618678796,0.708806836840061,0.555307981616473,0.542348000993967,,,,,
15,X2,X4,0.886453812550463,0.349717914825921,0.920679190644409,"Enhance, bi-",,,,X10,0.659416034133543,0.908859250899442,0.484757480969541,0.578210027964739,0.668408817066052,0.536531785795603,0.693783802390839,0.419817087952151,0.60294960868915,0.40479988323152,,,,
16,X2,X5,0.886453812550463,0.587666350201619,0.892314196442487,"Enhance, bi-",,,,X11,0.613056438026794,0.888281037797434,0.23677387427514,0.398031519672512,0.599379865262398,0.200663351572432,0.655206942530601,0.138449967918564,0.554893003861039,0.443146557548161,0.104532833355218,,,
17,X2,X6,0.886453812550463,0.110875888876285,0.904962249482058,"Enhance, bi-",,,,X12,0.613574054123944,0.88849494116943,0.275733185326929,0.420559707788641,0.606148304321423,0.254947216775738,0.656837430881086,0.194621197775006,0.553476960498948,0.449299716223648,0.241441084606784,0.169565873577552,,
18,X2,X7,0.886453812550463,0.646154160063816,0.909835543429648,"Enhance, bi-",,,,X13,0.615952796441983,0.889814816372035,0.290467199532765,0.422031415056844,0.604058669529712,0.279160453496537,0.657990707637478,0.197627785637907,0.561012833662777,0.447979766902445,0.216525883812049,0.279141851014051,0.175544095870405,
19,X2,X8,0.886453812550463,0.0679363434928403,0.888447879568057,"Enhance, bi-",,,,X14,0.592574321116126,0.889529291927225,0.213354748774918,0.383642587111209,0.613145508091166,0.168891372432079,0.652119907338565,0.146099635084026,0.58965140490303,0.46556200451423,0.200424902095065,0.234921708769891,0.251429845383726,0.0916115378899529
20,X2,X9,0.886453812550463,0.542348000993967,0.892946602503353,"Enhance, bi-",,,,,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
21,X2,X10,0.886453812550463,0.40479988323152,0.908859250899442,"Enhance, bi-",,,,,,,,,,,,,,,,,,
22,X2,X11,0.886453812550463,0.104532833355218,0.888281037797434,"Enhance, bi-",,,,,,,,,,,,,,,,,,
23,X2,X12,0.886453812550463,0.169565873577552,0.88849494116943,"Enhance, bi-",,,,,,,,,,,,,,,,,,
24,X2,X13,0.886453812550463,0.175544095870405,0.889814816372035,"Enhance, bi-",,,,,,,,,,,,,,,,,,
25,X2,X14,0.886453812550463,0.0916115378899529,0.889529291927225,"Enhance, bi-",,,,,,,,,,,,,,,,,,
26,X3,X4,0.11348507002075,0.349717914825921,0.63732972325929,"Enhance, nonlinear",,,,,,,,,,,,,,,,,,
27,X3,X5,0.11348507002075,0.587666350201619,0.665062160844012,"Enhance, bi-",,,,,,,,,,,,,,,,,,
28,X3,X6,0.11348507002075,0.110875888876285,0.224275402243902,"Enhance, bi-",,,,,,,,,,,,,,,,,,
29,X3,X7,0.11348507002075,0.646154160063816,0.664534848375729,"Enhance, bi-",,,,,,,,,,,,,,,,,,
30,X3,X8,0.11348507002075,0.0679363434928403,0.174651214862548,"Enhance, bi-",,,,,,,,,,,,,,,,,,
31,X3,X9,0.11348507002075,0.542348000993967,0.624798240367024,"Enhance, bi-",,,,,,,,,,,,,,,,,,
32,X3,X10,0.11348507002075,0.40479988323152,0.484757480969541,"Enhance, bi-",,,,,,,,,,,,,,,,,,
33,X3,X11,0.11348507002075,0.104532833355218,0.23677387427514,"Enhance, nonlinear",,,,0.58576213189451,,,,,,,,,,,,,,
34,X3,X12,0.11348507002075,0.169565873577552,0.275733185326929,"Enhance, bi-",,,,0.886453812550463,,,,,,,,,,,,,,
35,X3,X13,0.11348507002075,0.175544095870405,0.290467199532765,"Enhance, nonlinear",,,,0.11348507002075,,,,,,,,,,,,,,
36,X3,X14,0.11348507002075,0.0916115378899529,0.213354748774918,"Enhance, nonlinear",,,,0.349717914825921,,,,,,,,,,,,,,
37,X4,X5,0.349717914825921,0.587666350201619,0.653097367592446,"Enhance, bi-",,,,0.587666350201619,,,,,,,,,,,,,,
38,X4,X6,0.349717914825921,0.110875888876285,0.397722946029696,"Enhance, bi-",,,,0.110875888876285,,,,,,,,,,,,,,
39,X4,X7,0.349717914825921,0.646154160063816,0.68682809901697,"Enhance, bi-",,,,0.646154160063816,,,,,,,,,,,,,,
40,X4,X8,0.349717914825921,0.0679363434928403,0.382580120211611,"Enhance, bi-",,,,0.0679363434928403,,,,,,,,,,,,,,
41,X4,X9,0.349717914825921,0.542348000993967,0.597441578203684,"Enhance, bi-",,,,0.542348000993967,,,,,,,,,,,,,,
42,X4,X10,0.349717914825921,0.40479988323152,0.578210027964739,"Enhance, bi-",,,,0.40479988323152,,,,,,,,,,,,,,
43,X4,X11,0.349717914825921,0.104532833355218,0.398031519672512,"Enhance, bi-",,,,0.104532833355218,,,,,,,,,,,,,,
44,X4,X12,0.349717914825921,0.169565873577552,0.420559707788641,"Enhance, bi-",,,,0.169565873577552,,,,,,,,,,,,,,
45,X4,X13,0.349717914825921,0.175544095870405,0.422031415056844,"Enhance, bi-",,,,0.175544095870405,,,,,,,,,,,,,,
46,X4,X14,0.349717914825921,0.0916115378899529,0.383642587111209,"Enhance, bi-",,,,0.0916115378899529,,,,,,,,,,,,,,
47,X5,X6,0.587666350201619,0.110875888876285,0.649106386437794,"Enhance, bi-",,,,,,,,,,,,,,,,,,
48,X5,X7,0.587666350201619,0.646154160063816,0.717611561971026,"Enhance, bi-",,,,,,,,,,,,,,,,,,
49,X5,X8,0.587666350201619,0.0679363434928403,0.598869730751933,"Enhance, bi-",,,,,,,,,,,,,,,,,,
50,X5,X9,0.587666350201619,0.542348000993967,0.656907622713248,"Enhance, bi-",,,,,,,,,,,,,,,,,,
51,X5,X10,0.587666350201619,0.40479988323152,0.668408817066052,"Enhance, bi-",,,,,,,,,,,,,,,,,,
