LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
1,2.74559,0.021125,2.285027519,0.664865827,0.692714925,0.01875664,0.006160649,0.384433578,HIGH,HIGH,HIGHHIGH,1,1
2,3.15773,0.023334,2.285027519,0.664865827,1.312599394,0.01875664,0.006160649,0.742999704,HIGH,HIGH,HIGHHIGH,1,1
3,2.8114,0.021535,2.285027519,0.664865827,0.791697302,0.01875664,0.006160649,0.45098501,HIGH,HIGH,HIGHHIGH,1,1
4,2.95673,0.023221,2.285027519,0.664865827,1.010282759,0.01875664,0.006160649,0.72465748,HIGH,HIGH,HIGHHIGH,1,1
5,2.86931,0.021761,2.285027519,0.664865827,0.878797583,0.01875664,0.006160649,0.487669457,HIGH,HIGH,HIGHHIGH,1,1
6,3.30903,0.021418,2.285027519,0.664865827,1.540164106,0.01875664,0.006160649,0.431993504,HIGH,HIGH,HIGHHIGH,1,1
7,2.922,0.022208,2.285027519,0.664865827,0.958046655,0.01875664,0.006160649,0.560226749,HIGH,HIGH,HIGHHIGH,1,1
8,2.90077,0.023327,2.285027519,0.664865827,0.926115401,0.01875664,0.006160649,0.74186346,HIGH,HIGH,HIGHHIGH,1,1
9,0.754329,0.039357,2.285027519,0.664865827,-2.302266799,0.01875664,0.006160649,3.343862099,LOW,HIGH,LOWHIGH,3,2
10,1.49743,0.021447,2.285027519,0.664865827,-1.18459618,0.01875664,0.006160649,0.4367008,LOW,HIGH,LOWHIGH,3,2
11,2.64704,0.020964,2.285027519,0.664865827,0.54448953,0.01875664,0.006160649,0.358299968,HIGH,HIGH,HIGHHIGH,1,1
12,2.91329,0.021272,2.285027519,0.664865827,0.944946268,0.01875664,0.006160649,0.408294701,HIGH,HIGH,HIGHHIGH,1,1
13,2.2226,0.014328,2.285027519,0.664865827,-0.093894913,0.01875664,0.006160649,-0.718859294,LOW,LOW,LOWLOW,4,3
14,2.77318,0.022151,2.285027519,0.664865827,0.73421202,0.01875664,0.006160649,0.550974477,HIGH,HIGH,HIGHHIGH,1,1
15,2.29763,0.017513,2.285027519,0.664865827,0.018954924,0.01875664,0.006160649,-0.201868298,HIGH,LOW,HIGHLOW,2,4
16,2.47082,0.0123,2.285027519,0.664865827,0.279443572,0.01875664,0.006160649,-1.048045398,HIGH,LOW,HIGHLOW,2,4
17,2.40715,0.012101,2.285027519,0.664865827,0.183679889,0.01875664,0.006160649,-1.08034719,HIGH,LOW,HIGHLOW,2,4
18,3.1278,0.022203,2.285027519,0.664865827,1.267582793,0.01875664,0.006160649,0.559415146,HIGH,HIGH,HIGHHIGH,1,1
19,2.8416,0.022883,2.285027519,0.664865827,0.837120001,0.01875664,0.006160649,0.66979313,HIGH,HIGH,HIGHHIGH,1,1
20,2.96033,0.022404,2.285027519,0.664865827,1.015697385,0.01875664,0.006160649,0.59204158,HIGH,HIGH,HIGHHIGH,1,1
21,2.33844,0.014212,2.285027519,0.664865827,0.08033573,0.01875664,0.006160649,-0.73768848,HIGH,LOW,HIGHLOW,2,4
22,3.26443,0.014636,2.285027519,0.664865827,1.473082902,0.01875664,0.006160649,-0.668864561,HIGH,LOW,HIGHLOW,2,4
