LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
30,420000,7100000,1460000,20000,0,0,0.046666667,0.788888889,0.162222222,0.002222222,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.007279598,0.018616516,0.0071094,-1.59463779
31,6110000,1510000,0,550000,830000,0,0.678888889,0.167777778,0,0.061111111,0.092222222,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.020166371,0.018616516,0.0071094,0.218000814
32,290000,7610000,1000000,100000,0,0,0.032222222,0.845555556,0.111111111,0.011111111,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.006955475,0.018616516,0.0071094,-1.640228557
33,1600000,6070000,1320000,0,10000,0,0.177777778,0.674444444,0.146666667,0,0.001111111,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.009521968,0.018616516,0.0071094,-1.279228616
34,4670000,580000,2850000,570000,330000,0,0.518888889,0.064444444,0.316666667,0.063333333,0.036666667,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.019283664,0.018616516,0.0071094,0.093840267
35,20000,8980000,0,0,0,0,0.002222222,0.997777778,0,0,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.005250324,0.018616516,0.0071094,-1.880073126
36,130000,7760000,0,1110000,0,0,0.014444444,0.862222222,0,0.123333333,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.009635488,0.018616516,0.0071094,-1.263261024
37,160000,6770000,1820000,0,0,250000,0.017777778,0.752222222,0.202222222,0,0,0.027777778,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.041039456,0.018616516,0.0071094,3.153984838
38,0,9000000,0,0,0,0,0,1,0,0,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.005209278,0.018616516,0.0071094,-1.885846609
39,2200000,6770000,0,0,30000,0,0.244444444,0.752222222,0,0,0.003333333,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.009737204,0.018616516,0.0071094,-1.248953769
40,10000,8990000,0,0,0,0,0.001111111,0.998888889,0,0,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.005229801,0.018616516,0.0071094,-1.882959868
41,700000,7270000,0,1030000,0,0,0.077777778,0.807777778,0,0.114444444,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.010505515,0.018616516,0.0071094,-1.140884031
42,3760000,4880000,0,0,360000,0,0.417777778,0.542222222,0,0,0.04,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.01308057,0.018616516,0.0071094,-0.778679769
43,680000,7630000,0,0,690000,0,0.075555556,0.847777778,0,0,0.076666667,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.006901316,0.018616516,0.0071094,-1.647846499
44,8120000,0,0,40000,840000,0,0.902222222,0,0,0.004444444,0.093333333,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.022384687,0.018616516,0.0071094,0.53002658
45,120000,2020000,0,0,0,0,0.056074766,0.943925234,0,0,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.006245013,0.018616516,0.0071094,-1.740161321
46,6740000,0,0,1420000,840000,0,0.748888889,0,0,0.157777778,0.093333333,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.02472369,0.018616516,0.0071094,0.85902804
47,7520000,60000,1320000,0,60000,0,0.839285714,0.006696429,0.147321429,0,0.006696429,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.02176659,0.018616516,0.0071094,0.44308577
48,8450000,420000,0,130000,0,0,0.938888889,0.046666667,0,0.014444444,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.023038258,0.018616516,0.0071094,0.621957122
49,6160000,0,0,1800000,1040000,0,0.684444444,0,0,0.2,0.115555556,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.025043242,0.018616516,0.0071094,0.903975855
50,5490000,1640000,1300000,500000,70000,0,0.61,0.182222222,0.144444444,0.055555556,0.007777778,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.019389236,0.018616516,0.0071094,0.108689903
51,6830000,1660000,0,510000,0,0,0.758888889,0.184444444,0,0.056666667,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.021137493,0.018616516,0.0071094,0.354597713
52,7570000,0,0,0,1430000,0,0.841111111,0,0,0,0.158888889,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.021359552,0.018616516,0.0071094,0.385832275
53,6200000,2140000,430000,230000,0,0,0.688888889,0.237777778,0.047777778,0.025555556,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.019129143,0.018616516,0.0071094,0.072105522
54,8330000,400000,0,30000,240000,0,0.925555556,0.044444444,0,0.003333333,0.026666667,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.022520385,0.018616516,0.0071094,0.549113704
55,3330000,5670000,0,0,0,0,0.37,0.63,0,0,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.0120434,0.018616516,0.0071094,-0.924566903
56,6440000,2300000,0,260000,0,0,0.715555556,0.255555556,0,0.028888889,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.019400295,0.018616516,0.0071094,0.110245449
57,2170000,6720000,0,110000,0,0,0.241111111,0.746666667,0,0.012222222,0,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.010074939,0.018616516,0.0071094,-1.201448354
58,5880000,2990000,0,40000,90000,0,0.653333333,0.332222222,0,0.004444444,0.01,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.017465297,0.018616516,0.0071094,-0.161929135
59,6790000,0,0,410000,1800000,0,0.754444444,0,0,0.045555556,0.2,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.021454109,0.018616516,0.0071094,0.399132553
60,7420000,0,0,0,1580000,0,0.824444444,0,0,0,0.175555556,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.021116161,0.018616516,0.0071094,0.351597178
61,8210000,0,0,0,790000,0,0.912222222,0,0,0,0.087777778,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.02239802,0.018616516,0.0071094,0.531901984
62,6960000,0,0,0,2040000,0,0.773333333,0,0,0,0.226666667,0,0.023679878,0.005209278,0.012196079,0.038934245,0.009076429,1.232410585,0.020369763,0.018616516,0.0071094,0.246609698
