LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
30,360000,7100000,1520000,20000,0,0,0.04,0.788888889,0.168888889,0.002222222,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.007781563,0.019501207,0.007690418,-1.523928177
31,6440000,1600000,0,130000,830000,0,0.715555556,0.177777778,0,0.014444444,0.092222222,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.019882241,0.019501207,0.007690418,0.049546595
32,230000,7620000,1110000,40000,0,0,0.025555556,0.846666667,0.123333333,0.004444444,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.007129834,0.019501207,0.007690418,-1.608673771
33,1990000,6100000,900000,0,10000,0,0.221111111,0.677777778,0.1,0,0.001111111,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.010428565,0.019501207,0.007690418,-1.179733342
34,7850000,620000,80000,120000,330000,0,0.872222222,0.068888889,0.008888889,0.013333333,0.036666667,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022720536,0.019501207,0.007690418,0.418615632
35,0,9000000,0,0,0,0,0,1,0,0,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.005130322,0.019501207,0.007690418,-1.868674218
36,250000,7830000,0,920000,0,0,0.027777778,0.87,0,0.102222222,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.01049984,0.019501207,0.007690418,-1.170465315
37,160000,6560000,2080000,0,0,200000,0.017777778,0.728888889,0.231111111,0,0,0.022222222,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.044848892,0.019501207,0.007690418,3.29600894
38,0,9000000,0,0,0,0,0,1,0,0,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.005130322,0.019501207,0.007690418,-1.868674218
39,2040000,6930000,0,0,30000,0,0.226666667,0.77,0,0,0.003333333,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.009490113,0.019501207,0.007690418,-1.301762087
40,10000,8990000,0,0,0,0,0.001111111,0.998888889,0,0,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.005151632,0.019501207,0.007690418,-1.865903237
41,590000,7360000,0,1050000,0,0,0.065555556,0.817777778,0,0.116666667,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.011907851,0.019501207,0.007690418,-0.987378897
42,3600000,5050000,0,10000,340000,0,0.4,0.561111111,0,0.001111111,0.037777778,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.012995795,0.019501207,0.007690418,-0.845911416
43,650000,7660000,0,10000,680000,0,0.072222222,0.851111111,0,0.001111111,0.075555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.006850328,0.019501207,0.007690418,-1.645018481
44,8130000,0,0,10000,860000,0,0.903333333,0,0,0.001111111,0.095555556,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.022865284,0.019501207,0.007690418,0.437437496
45,90000,2050000,0,0,0,0,0.042056075,0.957943925,0,0,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.005936934,0.019501207,0.007690418,-1.763788885
46,7130000,0,0,1030000,840000,0,0.792222222,0,0,0.114444444,0.093333333,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.026088424,0.019501207,0.007690418,0.85654868
47,8700000,60000,130000,10000,60000,0,0.970982143,0.006696429,0.014508929,0.001116071,0.006696429,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.023983859,0.019501207,0.007690418,0.582887986
48,8530000,460000,0,10000,0,0,0.947777778,0.051111111,0,0.001111111,0,0,0.024309758,0.005130322,0.015663382,0.05244641,0.008866,1.667578617,0.023360739,0.019501207,0.007690418,0.501862477
