LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
30,490000,6920000,1560000,30000,0,0,0.054444444,0.768888889,0.173333333,0.003333333,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.007596723,0.018776375,0.006133587,-1.822694075
31,6310000,1760000,50000,570000,310000,0,0.701111111,0.195555556,0.005555556,0.063333333,0.034444444,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.020331549,0.018776375,0.006133587,0.253550507
32,260000,7690000,970000,80000,0,0,0.028888889,0.854444444,0.107777778,0.008888889,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.006924309,0.018776375,0.006133587,-1.932322265
33,1310000,6400000,1290000,0,0,0,0.145555556,0.711111111,0.143333333,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.00892913,0.018776375,0.006133587,-1.605462774
34,4850000,550000,2850000,540000,210000,0,0.538888889,0.061111111,0.316666667,0.06,0.023333333,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.019178884,0.018776375,0.006133587,0.065623757
35,170000,8830000,0,0,0,0,0.018888889,0.981111111,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.005780392,0.018776375,0.006133587,-2.118822769
36,40000,8960000,0,0,0,0,0.004444444,0.995555556,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.005521954,0.018776375,0.006133587,-2.160957659
37,760000,7890000,350000,0,0,0,0.084444444,0.876666667,0.038888889,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.007192725,0.018776375,0.006133587,-1.888560594
38,0,9000000,0,0,0,0,0,1,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.005442434,0.018776375,0.006133587,-2.173922341
39,2010000,6960000,0,0,30000,0,0.223333333,0.773333333,0,0,0.003333333,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.009454043,0.018776375,0.006133587,-1.519882667
40,0,9000000,0,0,0,0,0,1,0,0,0,0,0.023334334,0.005442434,0.011598928,0.039357196,0.010167927,0.210267135,0.005442434,0.018776375,0.006133587,-2.173922341
