LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
9275,2.05185,0.022349,1.955770553,0.67912856,0.141474608,0.01859694,0.007131405,0.526131912,HIGH,HIGH,HIGHHIGH,1,1
9276,2.0084,0.022317,1.955770553,0.67912856,0.077495558,0.01859694,0.007131405,0.521644718,HIGH,HIGH,HIGHHIGH,1,1
9277,0.589184,0.018101,1.955770553,0.67912856,-2.012264886,0.01859694,0.007131405,-0.069543122,LOW,LOW,LOWLOW,4,3
9278,0.516385,0.025111,1.955770553,0.67912856,-2.119459612,0.01859694,0.007131405,0.913432865,LOW,HIGH,LOWHIGH,3,2
9279,2.36761,0.014743,1.955770553,0.67912856,0.606423395,0.01859694,0.007131405,-0.540418067,HIGH,LOW,HIGHLOW,2,4
9280,2.14584,0.02236,1.955770553,0.67912856,0.279872557,0.01859694,0.007131405,0.527674385,HIGH,HIGH,HIGHHIGH,1,1
9281,2.00201,0.011689,1.955770553,0.67912856,0.068086441,0.01859694,0.007131405,-0.968664667,HIGH,LOW,HIGHLOW,2,4
9282,1.64825,0.018124,1.955770553,0.67912856,-0.452816406,0.01859694,0.007131405,-0.066317951,LOW,LOW,LOWLOW,4,3
9283,1.80729,0.016684,1.955770553,0.67912856,-0.218633941,0.01859694,0.007131405,-0.268241692,LOW,LOW,LOWLOW,4,3
9284,0.271335,0.015129,1.955770553,0.67912856,-2.480289674,0.01859694,0.007131405,-0.486291287,LOW,LOW,LOWLOW,4,3
9285,2.18076,0.019029,1.955770553,0.67912856,0.331291393,0.01859694,0.007131405,0.060585511,HIGH,HIGH,HIGHHIGH,1,1
9286,1.78588,0.014581,1.955770553,0.67912856,-0.250159636,0.01859694,0.007131405,-0.563134488,LOW,LOW,LOWLOW,4,3
9287,2.3567,0.022382,1.955770553,0.67912856,0.59035869,0.01859694,0.007131405,0.530759331,HIGH,HIGH,HIGHHIGH,1,1
9288,2.16472,0.014344,1.955770553,0.67912856,0.30767289,0.01859694,0.007131405,-0.59636777,HIGH,LOW,HIGHLOW,2,4
9289,2.22735,0.021019,1.955770553,0.67912856,0.399894015,0.01859694,0.007131405,0.339632902,HIGH,HIGH,HIGHHIGH,1,1
9290,2.57535,0.021502,1.955770553,0.67912856,0.912315405,0.01859694,0.007131405,0.40736149,HIGH,HIGH,HIGHHIGH,1,1
9291,2.36064,0.020697,1.955770553,0.67912856,0.596160242,0.01859694,0.007131405,0.29448051,HIGH,HIGH,HIGHHIGH,1,1
9292,2.51516,0.02299,1.955770553,0.67912856,0.823687119,0.01859694,0.007131405,0.616016022,HIGH,HIGH,HIGHHIGH,1,1
9293,2.20793,0.022052,1.955770553,0.67912856,0.371298546,0.01859694,0.007131405,0.484485141,HIGH,HIGH,HIGHHIGH,1,1
