OBJECTID_12 *,OID,Shape *,OID,RASTERVALU,距离,Shape_Length,Shape_Area,LID,mesli,AVERAGE,S,Z-Score
66,299,面,2766,2.753465,0,12000,9000000,66,2.753465,2.162318219,0.662851466,0.891823903
67,317,面,2819,2.424709,0,12000,9000000,67,2.424709,2.162318219,0.662851466,0.395851552
68,400,面,2863,0.602282,0,12000,9000000,68,0.602282,2.162318219,0.662851466,-2.353523072
69,14,面,2880,2.791572,0,12000,9000000,69,2.791572,2.162318219,0.662851466,0.949313404
70,10,面,2980,2.698493,0,12000,9000000,70,2.698493,2.162318219,0.662851466,0.808891296
71,305,面,2991,2.508712,0,12000,9000000,71,2.508712,2.162318219,0.662851466,0.522581301
72,447,面,3000,2.47665,0,12000,9000000,72,2.47665,2.162318219,0.662851466,0.47421149
73,57,面,3065,2.570361,0,12000,9000000,73,2.570361,2.162318219,0.662851466,0.615587055
74,240,面,3107,2.957474,0,12000,9000000,74,2.957474,2.162318219,0.662851466,1.199598737
75,466,面,3120,2.74925,0,12000,9000000,75,2.74925,2.162318219,0.662851466,0.885465012
76,266,面,3180,2.56256,0,12000,9000000,76,2.56256,2.162318219,0.662851466,0.603818204
77,351,面,3195,2.486025,0,12000,9000000,77,2.486025,2.162318219,0.662851466,0.48835493
78,186,面,3236,2.81849,0,12000,9000000,78,2.81849,2.162318219,0.662851466,0.989922804
79,242,面,3266,2.453023,0,12000,9000000,79,2.453023,2.162318219,0.662851466,0.438567004
80,253,面,3343,2.797361,0,12000,9000000,80,2.797361,2.162318219,0.662851466,0.958046884
81,297,面,3471,2.41832,0,12000,9000000,81,2.41832,2.162318219,0.662851466,0.386212892
82,103,面,3596,2.489302,0,12000,9000000,82,2.489302,2.162318219,0.662851466,0.493298723
83,42,面,3603,2.640406,0,12000,9000000,83,2.640406,2.162318219,0.662851466,0.721259296
84,451,面,3828,2.362718,0,12000,9000000,84,2.362718,2.162318219,0.662851466,0.302329846
85,190,面,3852,2.523929,0,12000,9000000,85,2.523929,2.162318219,0.662851466,0.545538179
86,290,面,3945,2.440991,0,12000,9000000,86,2.440991,2.162318219,0.662851466,0.420415124
87,481,面,3994,2.68521,0,12000,9000000,87,2.68521,2.162318219,0.662851466,0.788852116
88,477,面,3997,2.54376,0,12000,9000000,88,2.54376,2.162318219,0.662851466,0.575455892
89,96,面,4011,2.535452,0,12000,9000000,89,2.535452,2.162318219,0.662851466,0.562922164
90,171,面,4084,2.486494,0,12000,9000000,90,2.486494,2.162318219,0.662851466,0.48906248
