LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
1768,2.18789,0.022165,1.931347933,0.690740706,0.371401402,0.019480712,0.007712507,0.348043497,HIGH,HIGH,HIGHHIGH,1,1
1769,2.26499,0.006405,1.931347933,0.690740706,0.483020711,0.019480712,0.007712507,-1.695390698,HIGH,LOW,HIGHLOW,2,4
1770,2.17842,0.011862,1.931347933,0.690740706,0.357691482,0.019480712,0.007712507,-0.987838642,HIGH,LOW,HIGHLOW,2,4
1771,2.28434,0.020711,1.931347933,0.690740706,0.511034117,0.019480712,0.007712507,0.15951854,HIGH,HIGH,HIGHHIGH,1,1
1772,2.30152,0.020769,1.931347933,0.690740706,0.535905968,0.019480712,0.007712507,0.167038793,HIGH,HIGH,HIGHHIGH,1,1
1773,1.75497,0.009966,1.931347933,0.690740706,-0.255346082,0.019480712,0.007712507,-1.233673111,LOW,LOW,LOWLOW,4,3
1774,1.99886,0.022388,1.931347933,0.690740706,0.097738654,0.019480712,0.007712507,0.376957572,HIGH,HIGH,HIGHHIGH,1,1
1775,2.11541,0.007262,1.931347933,0.690740706,0.266470566,0.019480712,0.007712507,-1.584272481,HIGH,LOW,HIGHLOW,2,4
1776,0.609494,0.01144,1.931347933,0.690740706,-1.913676032,0.019480712,0.007712507,-1.042554964,LOW,LOW,LOWLOW,4,3
1777,2.38755,0.022457,1.931347933,0.690740706,0.660453428,0.019480712,0.007712507,0.38590408,HIGH,HIGH,HIGHHIGH,1,1
1778,2.24042,0.023054,1.931347933,0.690740706,0.4474502,0.019480712,0.007712507,0.463310819,HIGH,HIGH,HIGHHIGH,1,1
1779,2.23986,0.021701,1.931347933,0.690740706,0.446639476,0.019480712,0.007712507,0.287881475,HIGH,HIGH,HIGHHIGH,1,1
1780,0.602218,0.022352,1.931347933,0.690740706,-1.924209652,0.019480712,0.007712507,0.372289829,LOW,HIGH,LOWHIGH,3,2
1781,2.29341,0.023496,1.931347933,0.690740706,0.524164949,0.019480712,0.007712507,0.520620331,HIGH,HIGH,HIGHHIGH,1,1
1782,2.15098,0.021716,1.931347933,0.690740706,0.317966011,0.019480712,0.007712507,0.289826368,HIGH,HIGH,HIGHHIGH,1,1
1783,0.602218,0.05194,1.931347933,0.690740706,-1.924209652,0.019480712,0.007712507,4.208656007,LOW,HIGH,LOWHIGH,3,2
1784,2.36133,0.022159,1.931347933,0.690740706,0.622494176,0.019480712,0.007712507,0.34726554,HIGH,HIGH,HIGHHIGH,1,1
1785,2.4126,0.025019,1.931347933,0.690740706,0.696718845,0.019480712,0.007712507,0.718091796,HIGH,HIGH,HIGHHIGH,1,1
1786,1.93392,0.023452,1.931347933,0.690740706,0.003723636,0.019480712,0.007712507,0.514915312,HIGH,HIGH,HIGHHIGH,1,1
1787,2.22347,0.023483,1.931347933,0.690740706,0.422911324,0.019480712,0.007712507,0.518934758,HIGH,HIGH,HIGHHIGH,1,1
1788,0.752144,0.010222,1.931347933,0.690740706,-1.707158595,0.019480712,0.007712507,-1.200480272,LOW,LOW,LOWLOW,4,3
1789,2.32434,0.021804,1.931347933,0.690740706,0.568942967,0.019480712,0.007712507,0.301236406,HIGH,HIGH,HIGHHIGH,1,1
1790,2.24727,0.023877,1.931347933,0.690740706,0.45736709,0.019480712,0.007712507,0.570020612,HIGH,HIGH,HIGHHIGH,1,1
1791,2.28357,0.021681,1.931347933,0.690740706,0.509919372,0.019480712,0.007712507,0.285288284,HIGH,HIGH,HIGHHIGH,1,1
