LID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,ERI,AVERAGE,S,Z-score
30,310000,7290000,1380000,20000,0,0,0.034444444,0.81,0.153333333,0.002222222,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.007073131,0.018349227,0.00692192,-1.629041751
31,5980000,1620000,0,590000,810000,0,0.664444444,0.18,0,0.065555556,0.09,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.019793232,0.018349227,0.00692192,0.208613374
32,250000,7800000,860000,90000,0,0,0.027777778,0.866666667,0.095555556,0.01,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.006719145,0.018349227,0.00692192,-1.680181612
33,1430000,6450000,1110000,0,10000,0,0.158888889,0.716666667,0.123333333,0,0.001111111,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.009040295,0.018349227,0.00692192,-1.344848331
34,4590000,640000,2860000,580000,330000,0,0.51,0.071111111,0.317777778,0.064444444,0.036666667,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.019382452,0.018349227,0.00692192,0.149268565
35,0,9000000,0,0,0,0,0,1,0,0,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.005076736,0.018349227,0.00692192,-1.917458133
36,110000,8090000,0,800000,0,0,0.012222222,0.898888889,0,0.088888889,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.008213313,0.018349227,0.00692192,-1.464321259
37,150000,6820000,1830000,0,0,200000,0.016666667,0.757777778,0.203333333,0,0,0.022222222,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.06727866,0.018349227,0.00692192,7.068766462
38,0,9000000,0,0,0,0,0,1,0,0,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.005076736,0.018349227,0.00692192,-1.917458133
39,1990000,6980000,0,0,30000,0,0.221111111,0.775555556,0,0,0.003333333,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.009155178,0.018349227,0.00692192,-1.328251346
40,0,9000000,0,0,0,0,0,1,0,0,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.005076736,0.018349227,0.00692192,-1.917458133
41,580000,7800000,0,620000,0,0,0.064444444,0.866666667,0,0.068888889,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.008518313,0.018349227,0.00692192,-1.420258338
42,3580000,5090000,0,0,330000,0,0.397777778,0.565555556,0,0,0.036666667,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.012533923,0.018349227,0.00692192,-0.840128801
43,630000,7720000,0,0,650000,0,0.07,0.857777778,0,0,0.072222222,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.006646562,0.018349227,0.00692192,-1.690667576
44,8110000,0,0,50000,840000,0,0.901111111,0,0,0.005555556,0.093333333,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.022192178,0.018349227,0.00692192,0.555185733
45,90000,2050000,0,0,0,0,0.042056075,0.957943925,0,0,0,0,0.023462921,0.005076736,0.013491715,0.03783513,0.008992327,2.713376604,0.005849987,0.018349227,0.00692192,-1.805747647
