OBJECTID_12 *,OID,Shape *,OID,RASTERVALU,距离,Shape_Length,Shape_Area,LID,mesli,AVERAGE,S,Z-Score
1,247,面,51,2.74559,0,12000,9000000,1,2.74559,2.286468593,0.662576192,0.692933752
2,402,面,76,3.157729,1587.851113,2640.482012,265404.8653,2,3.157729,2.286468593,0.662576192,1.314958819
3,47,面,89,2.811398,0,12000,9000000,3,2.811398,2.286468593,0.662576192,0.79225516
4,4,面,142,2.956734,0,12000,9000000,4,2.956734,2.286468593,0.662576192,1.011605028
5,172,面,189,2.869307,0,12000,9000000,5,2.869307,2.286468593,0.662576192,0.87965492
6,294,面,193,3.309032,0,12000,9000000,6,3.309032,2.286468593,0.662576192,1.543314444
7,271,面,243,2.921996,0,12000,9000000,7,2.921996,2.286468593,0.662576192,0.95917634
8,23,面,269,2.90077,0,12000,9000000,8,2.90077,2.286468593,0.662576192,0.927140779
9,352,面,271,0.754329,0,12000,9000000,9,0.754329,2.286468593,0.662576192,-2.312397596
10,34,面,345,1.497432,0,12000,9000000,10,1.497432,2.286468593,0.662576192,-1.190861674
11,189,面,356,2.647038,0,12000,9000000,11,2.647038,2.286468593,0.662576192,0.544193123
12,90,面,393,2.913295,0,12000,9000000,12,2.913295,2.286468593,0.662576192,0.946044266
13,175,面,412,2.222599,0,12000,9000000,13,2.222599,2.286468593,0.662576192,-0.096395847
14,75,面,520,2.773179,0,12000,9000000,14,2.773179,2.286468593,0.662576192,0.734572737
15,32,面,567,2.297625,0,12000,9000000,15,2.297625,2.286468593,0.662576192,0.016837923
16,188,面,680,2.470816,0,12000,9000000,16,2.470816,2.286468593,0.662576192,0.278228239
17,100,面,729,2.40715,0,12000,9000000,17,2.40715,2.286468593,0.662576192,0.182139667
18,8,面,819,3.127802,0,12000,9000000,18,3.127802,2.286468593,0.662576192,1.269791184
19,3,面,860,2.841599,0,12000,9000000,19,2.841599,2.286468593,0.662576192,0.837836333
20,425,面,864,2.960333,0,12000,9000000,20,2.960333,2.286468593,0.662576192,1.017036856
21,184,面,877,2.338444,0,12000,9000000,21,2.338444,2.286468593,0.662576192,0.078444423
22,274,面,896,3.264431,0,12000,9000000,22,3.264431,2.286468593,0.662576192,1.475999921
23,483,面,963,2.869427,0,12000,9000000,23,2.869427,2.286468593,0.662576192,0.879836031
24,356,面,967,2.452334,0,12000,9000000,24,2.452334,2.286468593,0.662576192,0.250334088
25,155,面,1040,2.213807,0,12000,9000000,25,2.213807,2.286468593,0.662576192,-0.109665264
26,304,面,1087,2.82576,0,12000,9000000,26,2.82576,2.286468593,0.662576192,0.813931158
27,496,面,1096,2.574882,0,12000,9000000,27,2.574882,2.286468593,0.662576192,0.43529093
28,63,面,1098,2.55653,0,12000,9000000,28,2.55653,2.286468593,0.662576192,0.407592984
29,117,面,1101,2.397257,0,12000,9000000,29,2.397257,2.286468593,0.662576192,0.167208554
30,48,面,1103,2.707513,0,12000,9000000,30,2.707513,2.286468593,0.662576192,0.635465645
31,196,面,1131,2.856723,0,12000,9000000,31,2.856723,2.286468593,0.662576192,0.860662387
32,260,面,1143,2.417725,0,12000,9000000,32,2.417725,2.286468593,0.662576192,0.198100095
33,72,面,1181,3.832604,0,12000,9000000,33,3.832604,2.286468593,0.662576192,2.333520923
34,397,面,1220,2.209223,0,12000,9000000,34,2.209223,2.286468593,0.662576192,-0.116583714
35,183,面,1270,2.499212,0,12000,9000000,35,2.499212,2.286468593,0.662576192,0.321085197
36,357,面,1332,2.595037,0,12000,9000000,36,2.595037,2.286468593,0.662576192,0.465710073
37,192,面,1342,2.483273,0,12000,9000000,37,2.483273,2.286468593,0.662576192,0.297029095
38,370,面,1363,2.494686,0,12000,9000000,38,2.494686,2.286468593,0.662576192,0.314254284
39,191,面,1545,2.539248,0,12000,9000000,39,2.539248,2.286468593,0.662576192,0.381509946
40,499,面,1652,2.931512,0,12000,9000000,40,2.931512,2.286468593,0.662576192,0.973538462
41,18,面,1656,2.690815,0,12000,9000000,41,2.690815,2.286468593,0.662576192,0.610264015
42,114,面,1659,2.449842,0,12000,9000000,42,2.449842,2.286468593,0.662576192,0.246573011
43,491,面,1794,0.76005,0,12000,9000000,43,0.76005,2.286468593,0.662576192,-2.303763118
44,413,面,1930,2.745985,0,12000,9000000,44,2.745985,2.286468593,0.662576192,0.69352991
45,264,面,1959,2.390775,1509.906919,6627.427856,2157656.582,45,2.390775,2.286468593,0.662576192,0.157425528
46,130,面,1981,3.383304,0,12000,9000000,46,3.383304,2.286468593,0.662576192,1.655410231
47,345,面,2003,3.09072,0,12042.85901,8966602.323,47,3.09072,2.286468593,0.662576192,1.21382479
48,394,面,2017,2.957718,0,12000,9000000,48,2.957718,2.286468593,0.662576192,1.01309014
49,285,面,2103,1.149454,0,12000,9000000,49,1.149454,2.286468593,0.662576192,-1.716051086
50,105,面,2116,2.938381,0,12000,9000000,50,2.938381,2.286468593,0.662576192,0.983905572
51,374,面,2134,2.818285,0,12000,9000000,51,2.818285,2.286468593,0.662576192,0.802649436
52,379,面,2151,1.282225,0,12000,9000000,52,1.282225,2.286468593,0.662576192,-1.515665075
53,115,面,2201,3.56753,0,12000,9000000,53,3.56753,2.286468593,0.662576192,1.933455235
54,230,面,2204,3.582541,0,12000,9000000,54,3.582541,2.286468593,0.662576192,1.956110743
55,302,面,2268,2.451783,0,12000,9000000,55,2.451783,2.286468593,0.662576192,0.249502486
56,227,面,2272,2.975255,0,12000,9000000,56,2.975255,2.286468593,0.662576192,1.039558039
57,322,面,2336,2.4547,0,12000,9000000,57,2.4547,2.286468593,0.662576192,0.253904998
58,438,面,2346,2.947662,0,12000,9000000,58,2.947662,2.286468593,0.662576192,0.997913017
59,414,面,2459,2.725797,0,12000,9000000,59,2.725797,2.286468593,0.662576192,0.663060962
60,132,面,2495,3.253881,0,12000,9000000,60,3.253881,2.286468593,0.662576192,1.460077224
61,492,面,2570,1.139098,0,12000,9000000,61,1.139098,2.286468593,0.662576192,-1.731680986
62,406,面,2574,2.827086,0,12000,9000000,62,2.827086,2.286468593,0.662576192,0.815932437
63,25,面,2668,2.775511,0,12000,9000000,63,2.775511,2.286468593,0.662576192,0.738092332
64,427,面,2688,2.856102,0,12000,9000000,64,2.856102,2.286468593,0.662576192,0.859725136
65,441,面,2702,2.841276,0,12000,9000000,65,2.841276,2.286468593,0.662576192,0.837348842
66,299,面,2766,3.166983,0,12000,9000000,66,3.166983,2.286468593,0.662576192,1.328925515
67,317,面,2819,2.611958,0,12000,9000000,67,2.611958,2.286468593,0.662576192,0.491248268
68,400,面,2863,0.629332,0,12000,9000000,68,0.629332,2.286468593,0.662576192,-2.501050617
69,14,面,2880,3.115849,0,12000,9000000,69,3.115849,2.286468593,0.662576192,1.251750994
70,10,面,2980,2.98127,0,12000,9000000,70,2.98127,2.286468593,0.662576192,1.048636241
71,305,面,2991,2.856177,0,12000,9000000,71,2.856177,2.286468593,0.662576192,0.859838331
72,447,面,3000,2.711407,0,12000,9000000,72,2.711407,2.286468593,0.662576192,0.641342705
73,57,面,3065,2.759496,0,12000,9000000,73,2.759496,2.286468593,0.662576192,0.713921527
74,240,面,3107,3.393111,0,12000,9000000,74,3.393111,2.286468593,0.662576192,1.670211548
75,466,面,3120,3.119172,0,12000,9000000,75,3.119172,2.286468593,0.662576192,1.256766267
76,266,面,3180,2.818592,0,12000,9000000,76,2.818592,2.286468593,0.662576192,0.803112779
77,351,面,3195,2.810265,0,12000,9000000,77,2.810265,2.286468593,0.662576192,0.790545168
78,186,面,3236,3.382452,0,12000,9000000,78,3.382452,2.286468593,0.662576192,1.654124341
79,242,面,3266,2.855462,0,12000,9000000,79,2.855462,2.286468593,0.662576192,0.85875921
80,253,面,3343,3.064789,0,12000,9000000,80,3.064789,2.286468593,0.662576192,1.174688159
81,297,面,3471,2.683197,0,12000,9000000,81,2.683197,2.286468593,0.662576192,0.598766469
82,103,面,3596,2.744201,0,12000,9000000,82,2.744201,2.286468593,0.662576192,0.69083739
83,42,面,3603,2.91747,0,12000,9000000,83,2.91747,2.286468593,0.662576192,0.952345428
84,451,面,3828,2.54072,0,12000,9000000,84,2.54072,2.286468593,0.662576192,0.383731577
85,190,面,3852,2.778142,0,12000,9000000,85,2.778142,2.286468593,0.662576192,0.742063197
86,290,面,3945,2.460268,0,12000,9000000,86,2.460268,2.286468593,0.662576192,0.26230856
87,481,面,3994,2.934673,0,12000,9000000,87,2.934673,2.286468593,0.662576192,0.978309234
88,477,面,3997,2.832038,0,12000,9000000,88,2.832038,2.286468593,0.662576192,0.823406294
89,96,面,4011,2.909016,0,12000,9000000,89,2.909016,2.286468593,0.662576192,0.939586141
90,171,面,4084,2.593715,0,12000,9000000,90,2.593715,2.286468593,0.662576192,0.463714831
91,76,面,4132,2.744434,0,12000,9000000,91,2.744434,2.286468593,0.662576192,0.691189047
92,273,面,4136,2.759488,0,12000,9000000,92,2.759488,2.286468593,0.662576192,0.713909453
93,363,面,4164,3.020577,0,12000,9000000,93,3.020577,2.286468593,0.662576192,1.107960739
94,308,面,4168,2.782919,0,12000,9000000,94,2.782919,2.286468593,0.662576192,0.749272933
95,158,面,4202,1.133951,0,12000,9000000,95,1.133951,2.286468593,0.662576192,-1.739449149
96,495,面,4226,2.614936,0,12000,9000000,96,2.614936,2.286468593,0.662576192,0.495742846
97,55,面,4266,2.618954,0,12000,9000000,97,2.618954,2.286468593,0.662576192,0.501807054
98,284,面,4282,2.632297,0,12000,9000000,98,2.632297,2.286468593,0.662576192,0.521945115
99,316,面,4346,3.499741,0,12000,9000000,99,3.499741,2.286468593,0.662576192,1.831143983
100,275,面,4380,3.327872,0,12000,9000000,100,3.327872,2.286468593,0.662576192,1.571748909
101,123,面,4424,2.468715,0,12000,9000000,101,2.468715,2.286468593,0.662576192,0.275057283
102,365,面,4500,3.246631,0,12000,9000000,102,3.246631,2.286468593,0.662576192,1.449135086
103,205,面,4504,1.012277,0,12000,9000000,103,1.012277,2.286468593,0.662576192,-1.923086898
104,35,面,4513,2.733494,0,12000,9000000,104,2.733494,2.286468593,0.662576192,0.674677739
105,301,面,4518,2.769567,0,12000,9000000,105,2.769567,2.286468593,0.662576192,0.729121289
106,43,面,4541,2.963432,0,12000,9000000,106,2.963432,2.286468593,0.662576192,1.021714054
107,210,面,4547,2.899241,0,12000,9000000,107,2.899241,2.286468593,0.662576192,0.92483312
108,433,面,4556,2.543871,0,12000,9000000,108,2.543871,2.286468593,0.662576192,0.388487256
109,116,面,4559,2.985746,0,9795.567105,5929413.883,109,2.985746,2.286468593,0.662576192,1.05539169
110,337,面,4601,0.668245,0,12000,9000000,110,0.668245,2.286468593,0.662576192,-2.442320767
111,239,面,4633,2.752453,0,12000,9000000,111,2.752453,2.286468593,0.662576192,0.703291806
112,220,面,4648,2.772643,0,12000,9000000,112,2.772643,2.286468593,0.662576192,0.733763774
113,153,面,4702,2.584729,0,12000,9000000,113,2.584729,2.286468593,0.662576192,0.450152617
114,82,面,4784,2.974223,0,12000,9000000,114,2.974223,2.286468593,0.662576192,1.038000483
