LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,S,Z-score,typemesli,typeLER,type,NUMBER,QUADRANT
3395,0.674356,0.020344,1.950166924,0.682104078,-1.870405066,0.01832996,0.00692192,0.027092774,LOW,HIGH,LOWHIGH,3,2
3396,2.21047,0.019681,1.950166924,0.682104078,0.381617827,0.01832996,0.00692192,0.31500207,HIGH,HIGH,HIGHHIGH,1,1
3397,2.33965,0.019765,1.950166924,0.682104078,0.571002415,0.01832996,0.00692192,0.336918679,HIGH,HIGH,HIGHHIGH,1,1
3398,0.605366,0.01984,1.950166924,0.682104078,-1.971547989,0.01832996,0.00692192,0.309044763,LOW,HIGH,LOWHIGH,3,2
3399,2.42035,0.018537,1.950166924,0.682104078,0.689312806,0.01832996,0.00692192,0.415894892,HIGH,HIGH,HIGHHIGH,1,1
3400,2.25471,0.02053,1.950166924,0.682104078,0.446475964,0.01832996,0.00692192,0.311336035,HIGH,HIGH,HIGHHIGH,1,1
3401,2.29865,0.020681,1.950166924,0.682104078,0.510894286,0.01832996,0.00692192,0.443768808,HIGH,HIGH,HIGHHIGH,1,1
3402,0.549689,0.020488,1.950166924,0.682104078,-2.053173362,0.01832996,0.00692192,0.329950236,LOW,HIGH,LOWHIGH,3,2
3403,2.14863,0.021228,1.950166924,0.682104078,0.290957176,0.01832996,0.00692192,0.192903281,HIGH,HIGH,HIGHHIGH,1,1
3404,2.25829,0.020504,1.950166924,0.682104078,0.45172443,0.01832996,0.00692192,0.260265376,HIGH,HIGH,HIGHHIGH,1,1
3405,0.567775,0.021421,1.950166924,0.682104078,-2.026658347,0.01832996,0.00692192,0.327513195,LOW,HIGH,LOWHIGH,3,2
3406,2.26895,0.020633,1.950166924,0.682104078,0.467352544,0.01832996,0.00692192,0.304399087,HIGH,HIGH,HIGHHIGH,1,1
3407,2.14825,0.019685,1.950166924,0.682104078,0.290400076,0.01832996,0.00692192,0.320658883,HIGH,HIGH,HIGHHIGH,1,1
3408,2.00741,0.020151,1.950166924,0.682104078,0.083921322,0.01832996,0.00692192,0.211485988,HIGH,HIGH,HIGHHIGH,1,1
3409,2.29398,0.020616,1.950166924,0.682104078,0.504047824,0.01832996,0.00692192,0.202194634,HIGH,HIGH,HIGHHIGH,1,1
3410,2.10848,0.020456,1.950166924,0.682104078,0.232095191,0.01832996,0.00692192,0.264911052,HIGH,HIGH,HIGHHIGH,1,1
3411,2.35351,0.020569,1.950166924,0.682104078,0.591321895,0.01832996,0.00692192,0.515776579,HIGH,HIGH,HIGHHIGH,1,1
