OBJECTID_12 *,OID,Shape *,OID,RASTERVALU,距离,Shape_Length,Shape_Area,LID,mesli,AVERAGE,S,Z-Score
66,299,面,2766,2.546408,0,12000,9000000,66,2.546408,1.951396794,0.680540189,0.874321922
67,317,面,2819,2.325726,0,12000,9000000,67,2.325726,1.951396794,0.680540189,0.550047171
68,400,面,2863,0.602218,0,12000,9000000,68,0.602218,1.951396794,0.680540189,-1.982511562
69,14,面,2880,2.575998,0,12000,9000000,69,2.575998,1.951396794,0.680540189,0.917802087
70,10,面,2980,2.602217,0,12000,9000000,70,2.602217,1.951396794,0.680540189,0.956328834
71,305,面,2991,2.391703,0,12000,9000000,71,2.391703,1.951396794,0.680540189,0.646995156
72,447,面,3000,2.331757,0,12000,9000000,72,2.331757,1.951396794,0.680540189,0.558909249
73,57,面,3065,2.400305,0,12000,9000000,73,2.400305,1.951396794,0.680540189,0.659635115
74,240,面,3107,2.783316,0,12000,9000000,74,2.783316,1.951396794,0.680540189,1.222439496
75,466,面,3120,2.700709,0,12000,9000000,75,2.700709,1.951396794,0.680540189,1.101055041
76,266,面,3180,2.478014,0,12000,9000000,76,2.478014,1.951396794,0.680540189,0.773822346
77,351,面,3195,2.389688,0,12000,9000000,77,2.389688,1.951396794,0.680540189,0.644034273
78,186,面,3236,2.761223,0,12000,9000000,78,2.761223,1.951396794,0.680540189,1.189975579
79,242,面,3266,2.355345,0,12000,9000000,79,2.355345,1.951396794,0.680540189,0.59356995
80,253,面,3343,2.592734,0,12000,9000000,80,2.592734,1.951396794,0.680540189,0.942394316
81,297,面,3471,0.707869,0,12000,9000000,81,0.707869,1.951396794,0.680540189,-1.827265771
82,103,面,3596,2.389194,0,12000,9000000,82,2.389194,1.951396794,0.680540189,0.643308379
83,42,面,3603,2.420327,0,12000,9000000,83,2.420327,1.951396794,0.680540189,0.689055861
84,451,面,3828,2.279426,0,12000,9000000,84,2.279426,1.951396794,0.680540189,0.482012982
85,190,面,3852,2.386615,0,12000,9000000,85,2.386615,1.951396794,0.680540189,0.639518742
86,290,面,3945,2.304626,0,12000,9000000,86,2.304626,1.951396794,0.680540189,0.51904239
87,481,面,3994,2.397249,0,12000,9000000,87,2.397249,1.951396794,0.680540189,0.655144565
88,477,面,3997,2.419729,0,12000,9000000,88,2.419729,1.951396794,0.680540189,0.688177147
89,96,面,4011,2.327223,0,12000,9000000,89,2.327223,1.951396794,0.680540189,0.552246894
90,171,面,4084,2.274914,0,12000,9000000,90,2.274914,1.951396794,0.680540189,0.475382955
91,76,面,4132,2.354632,0,12000,9000000,91,2.354632,1.951396794,0.680540189,0.592522253
92,273,面,4136,2.413318,0,12000,9000000,92,2.413318,1.951396794,0.680540189,0.67875669
93,363,面,4164,2.583122,0,12000,9000000,93,2.583122,1.951396794,0.680540189,0.928270242
94,308,面,4168,2.486173,0,12000,9000000,94,2.486173,1.951396794,0.680540189,0.785811352
95,158,面,4202,0.788222,0,12000,9000000,95,0.788222,1.951396794,0.680540189,-1.709193391
96,495,面,4226,2.228197,0,12000,9000000,96,2.228197,1.951396794,0.680540189,0.406736017
97,55,面,4266,2.591553,0,12000,9000000,97,2.591553,1.951396794,0.680540189,0.94065893
98,284,面,4282,2.187932,0,12000,9000000,98,2.187932,1.951396794,0.680540189,0.347569783
99,316,面,4346,2.896413,0,12000,9000000,99,2.896413,1.951396794,0.680540189,1.388626595
100,275,面,4380,2.749957,0,12000,9000000,100,2.749957,1.951396794,0.680540189,1.173421083
101,123,面,4424,1.966608,0,12000,9000000,101,1.966608,1.951396794,0.680540189,0.022351665
102,365,面,4500,2.631195,0,12000,9000000,102,2.631195,1.951396794,0.680540189,0.998909714
103,205,面,4504,0.681089,0,12000,9000000,103,0.681089,1.951396794,0.680540189,-1.866616863
104,35,面,4513,2.357219,0,12000,9000000,104,2.357219,1.951396794,0.680540189,0.596323645
105,301,面,4518,2.363367,0,12000,9000000,105,2.363367,1.951396794,0.680540189,0.605357645
106,43,面,4541,2.51633,0,12000,9000000,106,2.51633,1.951396794,0.680540189,0.830124679
107,210,面,4547,2.468793,0,12000,9000000,107,2.468793,1.951396794,0.680540189,0.760272816
108,433,面,4556,2.669955,0,12000,9000000,108,2.669955,1.951396794,0.680540189,1.05586447
109,116,面,4559,3.127618,0,9795.567105,5929413.883,109,3.127618,1.951396794,0.680540189,1.728364062
