LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
8562,2.4875,0.006669,2.160955403,0.664878439,0.491134285,0.018474349,0.006593987,-1.790320273,HIGH,LOW,HIGHLOW,2,4
8563,3.13929,0.021552,2.160955403,0.664878439,1.471448823,0.018474349,0.006593987,0.466735876,HIGH,HIGH,HIGHHIGH,1,1
8564,2.72147,0.017239,2.160955403,0.664878439,0.843033198,0.018474349,0.006593987,-0.187344832,HIGH,LOW,HIGHLOW,2,4
8565,3.10065,0.022983,2.160955403,0.664878439,1.413332936,0.018474349,0.006593987,0.683751756,HIGH,HIGH,HIGHHIGH,1,1
8566,2.33549,0.022316,2.160955403,0.664878439,0.262506026,0.018474349,0.006593987,0.582599001,HIGH,HIGH,HIGHHIGH,1,1
8567,2.59625,0.004906,2.160955403,0.664878439,0.654698019,0.018474349,0.006593987,-2.05768505,HIGH,LOW,HIGHLOW,2,4
8568,2.37997,0.017164,2.160955403,0.664878439,0.329405473,0.018474349,0.006593987,-0.198718829,HIGH,LOW,HIGHLOW,2,4
8569,2.83167,0.021418,2.160955403,0.664878439,1.008777781,0.018474349,0.006593987,0.446414333,HIGH,HIGH,HIGHHIGH,1,1
8570,2.71774,0.023476,2.160955403,0.664878439,0.83742315,0.018474349,0.006593987,0.758516836,HIGH,HIGH,HIGHHIGH,1,1
8571,2.67271,0.022774,2.160955403,0.664878439,0.769696484,0.018474349,0.006593987,0.652056215,HIGH,HIGH,HIGHHIGH,1,1
8572,2.30985,0.016911,2.160955403,0.664878439,0.223942586,0.018474349,0.006593987,-0.237087116,HIGH,LOW,HIGHLOW,2,4
8573,2.53737,0.015865,2.160955403,0.664878439,0.566140477,0.018474349,0.006593987,-0.395716474,HIGH,LOW,HIGHLOW,2,4
8574,2.86572,0.023962,2.160955403,0.664878439,1.05999015,0.018474349,0.006593987,0.832220343,HIGH,HIGH,HIGHHIGH,1,1
8575,3.06982,0.022725,2.160955403,0.664878439,1.366963558,0.018474349,0.006593987,0.644625203,HIGH,HIGH,HIGHHIGH,1,1
8576,2.99265,0.021865,2.160955403,0.664878439,1.250897228,0.018474349,0.006593987,0.514203361,HIGH,HIGH,HIGHHIGH,1,1
8577,3.26963,0.021704,2.160955403,0.664878439,1.667484658,0.018474349,0.006593987,0.489787178,HIGH,HIGH,HIGHHIGH,1,1
8578,2.57545,0.022188,2.160955403,0.664878439,0.623414105,0.018474349,0.006593987,0.563187378,HIGH,HIGH,HIGHHIGH,1,1
8579,2.63091,0.021762,2.160955403,0.664878439,0.706827849,0.018474349,0.006593987,0.49858307,HIGH,HIGH,HIGHHIGH,1,1
8580,2.89677,0.02219,2.160955403,0.664878439,1.106690416,0.018474349,0.006593987,0.563490685,HIGH,HIGH,HIGHHIGH,1,1
8581,2.89601,0.022585,2.160955403,0.664878439,1.10554735,0.018474349,0.006593987,0.623393741,HIGH,HIGH,HIGHHIGH,1,1
8582,3.02988,0.021338,2.160955403,0.664878439,1.306892426,0.018474349,0.006593987,0.434282068,HIGH,HIGH,HIGHHIGH,1,1
8583,2.74377,0.021923,2.160955403,0.664878439,0.876573163,0.018474349,0.006593987,0.522999252,HIGH,HIGH,HIGHHIGH,1,1
8584,2.33295,0.01233,2.160955403,0.664878439,0.258685779,0.018474349,0.006593987,-0.931810909,HIGH,LOW,HIGHLOW,2,4
8585,2.7032,0.021705,2.160955403,0.664878439,0.815554491,0.018474349,0.006593987,0.489938832,HIGH,HIGH,HIGHHIGH,1,1
8586,2.53639,0.02087,2.160955403,0.664878439,0.564666524,0.018474349,0.006593987,0.363308321,HIGH,HIGH,HIGHHIGH,1,1
8587,2.80476,0.022392,2.160955403,0.664878439,0.968304217,0.018474349,0.006593987,0.594124653,HIGH,HIGH,HIGHHIGH,1,1
8588,2.8012,0.021355,2.160955403,0.664878439,0.962949855,0.018474349,0.006593987,0.436860175,HIGH,HIGH,HIGHHIGH,1,1
8589,2.77176,0.022039,2.160955403,0.664878439,0.918671084,0.018474349,0.006593987,0.540591036,HIGH,HIGH,HIGHHIGH,1,1
8590,2.74962,0.021236,2.160955403,0.664878439,0.885371764,0.018474349,0.006593987,0.418813431,HIGH,HIGH,HIGHHIGH,1,1
8591,2.4677,0.02173,2.160955403,0.664878439,0.461354405,0.018474349,0.006593987,0.493730164,HIGH,HIGH,HIGHHIGH,1,1
8592,2.4073,0.02125,2.160955403,0.664878439,0.370510732,0.018474349,0.006593987,0.420936578,HIGH,HIGH,HIGHHIGH,1,1
8593,2.38115,0.02204,2.160955403,0.664878439,0.331180234,0.018474349,0.006593987,0.540742689,HIGH,HIGH,HIGHHIGH,1,1
8594,2.72769,0.016478,2.160955403,0.664878439,0.852388291,0.018474349,0.006593987,-0.302752997,HIGH,LOW,HIGHLOW,2,4
8595,2.77717,0.021653,2.160955403,0.664878439,0.92680791,0.018474349,0.006593987,0.48205286,HIGH,HIGH,HIGHHIGH,1,1
8596,2.33542,0.005779,2.160955403,0.664878439,0.262400744,0.018474349,0.006593987,-1.925291715,HIGH,LOW,HIGHLOW,2,4
8597,0.8583,0.022008,2.160955403,0.664878439,-1.95923845,0.018474349,0.006593987,0.535889783,LOW,HIGH,LOWHIGH,3,2
8598,2.6463,0.02429,2.160955403,0.664878439,0.729974937,0.018474349,0.006593987,0.881962627,HIGH,HIGH,HIGHHIGH,1,1
8599,2.53243,0.021879,2.160955403,0.664878439,0.558710548,0.018474349,0.006593987,0.516326507,HIGH,HIGH,HIGHHIGH,1,1
8600,2.41267,0.021777,2.160955403,0.664878439,0.378587396,0.018474349,0.006593987,0.50085787,HIGH,HIGH,HIGHHIGH,1,1
8601,2.51053,0.021909,2.160955403,0.664878439,0.525772196,0.018474349,0.006593987,0.520876106,HIGH,HIGH,HIGHHIGH,1,1
8602,2.62521,0.017737,2.160955403,0.664878439,0.698254853,0.018474349,0.006593987,-0.111821485,HIGH,LOW,HIGHLOW,2,4
8603,2.45421,0.019953,2.160955403,0.664878439,0.441064982,0.018474349,0.006593987,0.22424224,HIGH,HIGH,HIGHHIGH,1,1
8604,2.51091,0.022325,2.160955403,0.664878439,0.526343729,0.018474349,0.006593987,0.583963881,HIGH,HIGH,HIGHHIGH,1,1
8605,2.44143,0.021054,2.160955403,0.664878439,0.421843423,0.018474349,0.006593987,0.39121253,HIGH,HIGH,HIGHHIGH,1,1
8606,0.939505,0.010892,2.160955403,0.664878439,-1.837103342,0.018474349,0.006593987,-1.149888363,LOW,LOW,LOWLOW,4,3
8607,2.62271,0.02049,2.160955403,0.664878439,0.694494767,0.018474349,0.006593987,0.305680065,HIGH,HIGH,HIGHHIGH,1,1
8608,2.38289,0.021411,2.160955403,0.664878439,0.333797253,0.018474349,0.006593987,0.44535276,HIGH,HIGH,HIGHHIGH,1,1
8609,2.56339,0.021836,2.160955403,0.664878439,0.605275451,0.018474349,0.006593987,0.509805415,HIGH,HIGH,HIGHHIGH,1,1
