OBJECTID_12 *,OID,Shape *,OID,RASTERVALU,距离,Shape_Length,Shape_Area,LID,mesli,AVERAGE,S,Z-Score
66,299,面,2766,2.519047,0,12000,9000000,66,2.519047,1.932565937,0.68923483,0.850916172
67,317,面,2819,2.313489,0,12000,9000000,67,2.313489,1.932565937,0.68923483,0.552675296
68,400,面,2863,0.602218,0,12000,9000000,68,0.602218,1.932565937,0.68923483,-1.930180948
69,14,面,2880,2.552996,0,12000,9000000,69,2.552996,1.932565937,0.68923483,0.900172244
70,10,面,2980,2.577308,0,12000,9000000,70,2.577308,1.932565937,0.68923483,0.935446143
71,305,面,2991,2.373513,0,12000,9000000,71,2.373513,1.932565937,0.68923483,0.639763175
72,447,面,3000,2.312236,0,12000,9000000,72,2.312236,1.932565937,0.68923483,0.550857337
73,57,面,3065,2.381342,0,12000,9000000,73,2.381342,1.932565937,0.68923483,0.651122149
74,240,面,3107,2.759487,0,12000,9000000,74,2.759487,1.932565937,0.68923483,1.199766796
75,466,面,3120,2.677399,0,12000,9000000,75,2.677399,1.932565937,0.68923483,1.080666605
76,266,面,3180,2.45418,0,12000,9000000,76,2.45418,1.932565937,0.68923483,0.75680166
77,351,面,3195,2.372204,0,12000,9000000,77,2.372204,1.932565937,0.68923483,0.637863968
78,186,面,3236,2.737539,0,12000,9000000,78,2.737539,1.932565937,0.68923483,1.167922787
79,242,面,3266,2.337781,0,12000,9000000,79,2.337781,1.932565937,0.68923483,0.587920177
80,253,面,3343,2.573863,0,12000,9000000,80,2.573863,1.932565937,0.68923483,0.930447847
81,297,面,3471,0.66613,0,12000,9000000,81,0.66613,1.932565937,0.68923483,-1.83745203
82,103,面,3596,2.368834,0,12000,9000000,82,2.368834,1.932565937,0.68923483,0.632974488
83,42,面,3603,2.403461,0,12000,9000000,83,2.403461,1.932565937,0.68923483,0.683214259
84,451,面,3828,2.268955,0,12000,9000000,84,2.268955,1.932565937,0.68923483,0.488061614
85,190,面,3852,2.367394,0,12000,9000000,85,2.367394,1.932565937,0.68923483,0.630885214
86,290,面,3945,2.289171,0,12000,9000000,86,2.289171,1.932565937,0.68923483,0.517392691
87,481,面,3994,2.377642,0,12000,9000000,87,2.377642,1.932565937,0.68923483,0.645753877
88,477,面,3997,2.401126,0,12000,9000000,88,2.401126,1.932565937,0.68923483,0.679826444
89,96,面,4011,2.311681,0,12000,9000000,89,2.311681,1.932565937,0.68923483,0.550052097
90,171,面,4084,2.259504,0,12000,9000000,90,2.259504,1.932565937,0.68923483,0.474349306
91,76,面,4132,2.336607,0,12000,9000000,91,2.336607,1.932565937,0.68923483,0.586216839
92,273,面,4136,2.395453,0,12000,9000000,92,2.395453,1.932565937,0.68923483,0.671595577
93,363,面,4164,2.566145,0,12000,9000000,93,2.566145,1.932565937,0.68923483,0.919249922
94,308,面,4168,2.46917,0,12000,9000000,94,2.46917,1.932565937,0.68923483,0.778550416
95,158,面,4202,0.746352,0,12000,9000000,95,0.746352,1.932565937,0.68923483,-1.721059189
96,495,面,4226,2.212441,0,12000,9000000,96,2.212441,1.932565937,0.68923483,0.406066338
97,55,面,4266,2.573995,0,12000,9000000,97,2.573995,1.932565937,0.68923483,0.930639363
98,284,面,4282,2.17312,0,12000,9000000,98,2.17312,1.932565937,0.68923483,0.349016116
99,316,面,4346,2.879838,0,12000,9000000,99,2.879838,1.932565937,0.68923483,1.374382173
100,275,面,4380,2.733788,0,12000,9000000,100,2.733788,1.932565937,0.68923483,1.16248052
101,123,面,4424,1.955202,0,12000,9000000,101,1.955202,1.932565937,0.68923483,0.032842309
102,365,面,4500,2.616188,0,12000,9000000,102,2.616188,1.932565937,0.68923483,0.991856525
103,205,面,4504,0.642118,0,12000,9000000,103,0.642118,1.932565937,0.68923483,-1.872290664
104,35,面,4513,2.341726,0,12000,9000000,104,2.341726,1.932565937,0.68923483,0.593643916
105,301,面,4518,2.347629,0,12000,9000000,105,2.347629,1.932565937,0.68923483,0.602208486
106,43,面,4541,2.500622,0,12000,9000000,106,2.500622,1.932565937,0.68923483,0.824183629
107,210,面,4547,2.45293,0,12000,9000000,107,2.45293,1.932565937,0.68923483,0.754988055
108,433,面,4556,2.634976,0,12000,9000000,108,2.634976,1.932565937,0.68923483,1.01911574
109,116,面,4559,3.075017,0,9795.567105,5929413.883,109,3.075017,1.932565937,0.68923483,1.657564322
110,337,面,4601,3.381279,0,12000,9000000,110,3.381279,1.932565937,0.68923483,2.101915052
111,239,面,4633,2.723709,0,12000,9000000,111,2.723709,1.932565937,0.68923483,1.147857057
112,220,面,4648,2.83576,0,12000,9000000,112,2.83576,1.932565937,0.68923483,1.310430095
113,153,面,4702,2.647456,0,12000,9000000,113,2.647456,1.932565937,0.68923483,1.037222776
114,82,面,4784,3.050095,0,12000,9000000,114,3.050095,1.932565937,0.68923483,1.621405383
115,156,面,4834,2.492753,0,12000,9000000,115,2.492753,1.932565937,0.68923483,0.81276662
116,384,面,4922,3.055955,0,12000,9000000,116,3.055955,1.932565937,0.68923483,1.629907565
117,2,面,4960,3.202189,0,12000,9000000,117,3.202189,1.932565937,0.68923483,1.842076181
118,376,面,4997,3.007079,0,12000,9000000,118,3.007079,1.932565937,0.68923483,1.558994144
119,489,面,5046,2.587945,0,12000,9000000,119,2.587945,1.932565937,0.68923483,0.9508792
120,54,面,5076,2.724372,0,12000,9000000,120,2.724372,1.932565937,0.68923483,1.148818993
121,455,面,5100,2.746457,0,12000,9000000,121,2.746457,1.932565937,0.68923483,1.180861773
122,324,面,5107,3.068124,0,12000,9000000,122,3.068124,1.932565937,0.68923483,1.647563376
123,391,面,5164,2.831506,0,12000,9000000,123,2.831506,1.932565937,0.68923483,1.304258033
124,193,面,5197,2.741577,0,12000,9000000,124,2.741577,1.932565937,0.68923483,1.173781458
125,243,面,5201,2.605252,0,12000,9000000,125,2.605252,1.932565937,0.68923483,0.975989654
