LID,mesli,LER,Amesli,Smesli,Zmesli,ALER,SLER,ZLER,typemesli,typeLER,type,NUMBER,QUADRANT
1,2.38425,0.021094,1.969594366,0.665498268,0.623075452,0.018277425,0.007115895,0.395814536,HIGH,HIGH,HIGHHIGH,1,1
2,2.64307,0.022992,1.969594366,0.665498268,1.011987057,0.018277425,0.007115895,0.662541358,HIGH,HIGH,HIGHHIGH,1,1
3,2.44479,0.021151,1.969594366,0.665498268,0.714044884,0.018277425,0.007115895,0.403824772,HIGH,HIGH,HIGHHIGH,1,1
4,2.48794,0.022662,1.969594366,0.665498268,0.778883521,0.018277425,0.007115895,0.616166305,HIGH,HIGH,HIGHHIGH,1,1
5,2.39305,0.020887,1.969594366,0.665498268,0.636298626,0.018277425,0.007115895,0.366724729,HIGH,HIGH,HIGHHIGH,1,1
6,2.63889,0.0187,1.969594366,0.665498268,1.005706049,0.018277425,0.007115895,0.059384602,HIGH,HIGH,HIGHHIGH,1,1
7,2.49839,0.022691,1.969594366,0.665498268,0.794586041,0.018277425,0.007115895,0.620241688,HIGH,HIGH,HIGHHIGH,1,1
8,2.4044,0.023889,1.969594366,0.665498268,0.653353517,0.018277425,0.007115895,0.788597186,HIGH,HIGH,HIGHHIGH,1,1
9,0.641394,0.039948,1.969594366,0.665498268,-1.995798383,0.018277425,0.007115895,3.045375925,LOW,HIGH,LOWHIGH,3,2
10,0.967387,0.021185,1.969594366,0.665498268,-1.505950376,0.018277425,0.007115895,0.408602808,LOW,HIGH,LOWHIGH,3,2
11,2.25513,0.021109,1.969594366,0.665498268,0.429055412,0.018277425,0.007115895,0.397922493,HIGH,HIGH,HIGHHIGH,1,1
12,2.39038,0.021156,1.969594366,0.665498268,0.632286595,0.018277425,0.007115895,0.404527425,HIGH,HIGH,HIGHHIGH,1,1
13,1.79833,0.014273,1.969594366,0.665498268,-0.257347576,0.018277425,0.007115895,-0.562743767,LOW,LOW,LOWLOW,4,3
14,2.30823,0.027762,1.969594366,0.665498268,0.508845252,0.018277425,0.007115895,1.332871677,HIGH,HIGH,HIGHHIGH,1,1
15,1.8533,0.017237,1.969594366,0.665498268,-0.174747812,0.018277425,0.007115895,-0.146211468,LOW,LOW,LOWLOW,4,3
16,1.97351,0.012778,1.969594366,0.665498268,0.005883762,0.018277425,0.007115895,-0.772836812,HIGH,LOW,HIGHLOW,2,4
17,2.19007,0.012062,1.969594366,0.665498268,0.331294076,0.018277425,0.007115895,-0.873456625,HIGH,LOW,HIGHLOW,2,4
18,2.53717,0.021912,1.969594366,0.665498268,0.852858168,0.018277425,0.007115895,0.510768456,HIGH,HIGH,HIGHHIGH,1,1
19,2.35718,0.02221,1.969594366,0.665498268,0.582399162,0.018277425,0.007115895,0.552646535,HIGH,HIGH,HIGHHIGH,1,1
