OBJECTID_12 *,OID,Shape *,OID,RASTERVALU,距离,Shape_Length,Shape_Area,LID,mesli,AVERAGE,S,Z-Score
1,247,面,51,2.384251,0,12000,9000000,1,2.384251,1.970836483,0.663849328,0.622753537
2,402,面,76,2.643075,1587.851113,2640.482012,265404.8653,2,2.643075,1.970836483,0.663849328,1.012637189
3,47,面,89,2.444786,0,12000,9000000,3,2.444786,1.970836483,0.663849328,0.713941398
4,4,面,142,2.487944,0,12000,9000000,4,2.487944,1.970836483,0.663849328,0.778953138
5,172,面,189,2.393052,0,12000,9000000,5,2.393052,1.970836483,0.663849328,0.636011063
6,294,面,193,2.638891,0,12000,9000000,6,2.638891,1.970836483,0.663849328,1.006334554
7,271,面,243,2.498391,0,12000,9000000,7,2.498391,1.970836483,0.663849328,0.794690143
8,23,面,269,2.404398,0,12000,9000000,8,2.404398,1.970836483,0.663849328,0.653102291
9,352,面,271,0.641394,0,12000,9000000,9,0.641394,1.970836483,0.663849328,-2.002626843
10,34,面,345,0.967387,0,12000,9000000,10,0.967387,1.970836483,0.663849328,-1.511562099
11,189,面,356,2.255127,0,12000,9000000,11,2.255127,1.970836483,0.663849328,0.428245545
12,90,面,393,2.390376,0,12000,9000000,12,2.390376,1.970836483,0.663849328,0.631980028
13,175,面,412,1.798329,0,12000,9000000,13,1.798329,1.970836483,0.663849328,-0.259859393
14,75,面,520,2.308234,0,12000,9000000,14,2.308234,1.970836483,0.663849328,0.508244119
15,32,面,567,1.8533,0,12000,9000000,15,1.8533,1.970836483,0.663849328,-0.177052952
16,188,面,680,1.973509,0,12000,9000000,16,1.973509,1.970836483,0.663849328,0.004025788
17,100,面,729,2.19007,0,12000,9000000,17,2.19007,1.970836483,0.663849328,0.330245897
18,8,面,819,2.537172,0,12000,9000000,18,2.537172,1.970836483,0.663849328,0.853108519
19,3,面,860,2.357178,0,12000,9000000,19,2.357178,1.970836483,0.663849328,0.581971693
20,425,面,864,2.414849,0,12000,9000000,20,2.414849,1.970836483,0.663849328,0.668845321
21,184,面,877,1.876682,0,12000,9000000,21,1.876682,1.970836483,0.663849328,-0.141831104
22,274,面,896,2.63583,0,12000,9000000,22,2.63583,1.970836483,0.663849328,1.001723568
23,483,面,963,2.383312,0,12000,9000000,23,2.383312,1.970836483,0.663849328,0.621339059
24,356,面,967,2.45409,0,12000,9000000,24,2.45409,1.970836483,0.663849328,0.727956626
25,155,面,1040,1.813236,0,12000,9000000,25,1.813236,1.970836483,0.663849328,-0.237403996
26,304,面,1087,2.02422,0,12000,9000000,26,2.02422,1.970836483,0.663849328,0.08041511
27,496,面,1096,2.041192,0,12000,9000000,27,2.041192,1.970836483,0.663849328,0.105981152
28,63,面,1098,2.276908,0,12000,9000000,28,2.276908,1.970836483,0.663849328,0.461055701
29,117,面,1101,1.920358,0,12000,9000000,29,1.920358,1.970836483,0.663849328,-0.076039067
30,48,面,1103,2.347682,0,12000,9000000,30,2.347682,1.970836483,0.663849328,0.567667242
31,196,面,1131,2.384626,0,12000,9000000,31,2.384626,1.970836483,0.663849328,0.623318424
32,260,面,1143,2.205986,0,12000,9000000,32,2.205986,1.970836483,0.663849328,0.354221217
33,72,面,1181,2.924702,0,12000,9000000,33,2.924702,1.970836483,0.663849328,1.436870502
34,397,面,1220,2.096287,0,12000,9000000,34,2.096287,1.970836483,0.663849328,0.188974383
35,183,面,1270,2.24944,0,12000,9000000,35,2.24944,1.970836483,0.663849328,0.419678842
36,357,面,1332,2.30443,0,12000,9000000,36,2.30443,1.970836483,0.663849328,0.502513903
37,192,面,1342,2.242585,0,12000,9000000,37,2.242585,1.970836483,0.663849328,0.409352703
38,370,面,1363,2.242994,0,12000,9000000,38,2.242994,1.970836483,0.663849328,0.409968807
39,191,面,1545,2.537015,0,12000,9000000,39,2.537015,1.970836483,0.663849328,0.85287202
40,499,面,1652,2.734513,0,12000,9000000,40,2.734513,1.970836483,0.663849328,1.150376275
41,18,面,1656,2.566647,0,12000,9000000,41,2.566647,1.970836483,0.663849328,0.897508654
42,114,面,1659,2.379459,0,12000,9000000,42,2.379459,1.970836483,0.663849328,0.615535032
43,491,面,1794,2.372672,0,12000,9000000,43,2.372672,1.970836483,0.663849328,0.605311326
44,413,面,1930,2.537282,0,12000,9000000,44,2.537282,1.970836483,0.663849328,0.853274219
45,264,面,1959,2.062265,1509.906919,6627.427856,2157656.582,45,2.062265,1.970836483,0.663849328,0.137724801
46,130,面,1981,2.939547,0,12000,9000000,46,2.939547,1.970836483,0.663849328,1.459232504
47,345,面,2003,2.598838,0,12042.85901,8966602.323,47,2.598838,1.970836483,0.663849328,0.94600008
48,394,面,2017,2.555894,0,12000,9000000,48,2.555894,1.970836483,0.663849328,0.881310702
49,285,面,2103,0.967585,0,12000,9000000,49,0.967585,1.970836483,0.663849328,-1.511263839
50,105,面,2116,2.462333,0,12000,9000000,50,2.462333,1.970836483,0.663849328,0.7403736
51,374,面,2134,2.485033,0,12000,9000000,51,2.485033,1.970836483,0.663849328,0.774568107
52,379,面,2151,1.010642,0,12000,9000000,52,1.010642,1.970836483,0.663849328,-1.446404241
53,115,面,2201,2.332582,0,12000,9000000,53,2.332582,1.970836483,0.663849328,0.544921117
54,230,面,2204,2.996967,0,12000,9000000,54,2.996967,1.970836483,0.663849328,1.545728035
55,302,面,2268,2.25984,0,12000,9000000,55,2.25984,1.970836483,0.663849328,0.435345047
56,227,面,2272,2.605739,0,12000,9000000,56,2.605739,1.970836483,0.663849328,0.956395511
