Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
0.229462311,80,0.371717364,1150.908305,16.44444466,1215.398682,8176.666667,686.5432129,0,1.64730831,1500.061452,15671.87012,2826.216553,21018.74219,3099.596924
0.15898709,79.25,0.334284306,1144.966715,16.42499987,1220.681274,7890.25,718.5441081,0,1.9884787,1510.759674,13141.63281,919.2778931,18851.72266,4452.808105
0.228967557,83.5,0.671162128,1149.108337,16.40833346,1220.848511,7840.333333,710.7798258,0,1.97891136,1509.932159,16107.99512,1806.265381,18063.42969,3511.053955
0.234962925,76.75,0.427824318,1147.333354,16.42499987,1219.017985,8054.833333,730.4736938,0,2.103183826,1510.119731,19079.50586,1950,17753.52148,1355.586792
0.217064425,77.5,0.315176249,1141.966614,16.40555573,1210.055013,7703.416667,702.3533122,0,2.124164502,1335.117808,17013.15625,2259.977783,19745.56836,642.324646
0,121,0.818754494,1153.466634,16.35416603,1210.611694,8271.5,703.7088826,0.188333333,2.942218463,981.8065999,474.5101624,4563.715332,25949.71094,2277.608643
0.175672432,110.75,0.566026211,1156.416728,16.37708346,1218.726156,8226.75,647.1829631,0,2.168182015,1019.353963,4572.472168,6735.168945,21288.20117,340.1387634
0.177061006,91.25,0.730811298,1149.433289,16.41388893,1222.643962,7511,247.979126,0,1.85368677,995.7026062,7538.401855,7558.335449,19237.6582,2654.712891
0.266243617,85,0.782622397,1149.333333,16.41666667,1225.984701,8399.166667,692.1768799,0,1.339537422,1500.834035,10497.02344,4682.680664,17463.89063,4667.708008
0.283358624,83.75,0.910593092,1146.466675,16.41388893,1224.962484,8168.25,716.129069,0,1.880028288,1586.614512,13464.30469,1739.971558,16058.87598,3204.293945
0.246148715,84,0.518517435,1143.833313,16.41666667,1219.666463,8600.333333,687.843099,0,3.045803229,1260.408285,16433.6543,736.4325562,15125.72363,852.9349976
0.346626093,79,0.763039768,1142.400024,16.4111112,1218.666382,6530.416667,615.8081156,0,1.534807285,1507.895325,19391.42773,2393.219727,14754.23633,150
0.116991378,81.75,0.778604209,1138.06663,16.4111112,1217.666423,6361.916667,247.5786133,0,4.363237143,1473.260925,21630.24609,545.7738037,14986.24316,1946.150146
0.127616468,79.5,0.707377374,1139.400024,16.40555573,1216.648356,7766.916667,681.3712972,0,1.994008938,1533.59786,20841.36523,850.0089111,15795.17383,4684.467285
0.220198204,78.25,0.423099339,1140.216614,16.39999962,1216.998535,7372.583333,688.4843547,0,2.737900058,1536.728434,19883.34766,150,17099.3418,2404.68335
0.312406619,116.75,0.312837005,1146.791606,16.375,1216.821289,8200.666667,665.6466675,0,2.341433446,1016.944773,2550,3650.684814,27036.78125,3001.249756
0.240297526,131.5,1.299090981,1152.233358,16.32777786,1215.618978,8346.416667,682.3578695,0,4.353978475,1055.139008,450,1589.81189,24369.80664,2178.875977
