"method","n.itv"
"X1","sd",7
"X2","sd",7
"X3","geometric",7
"X4","natural",7
"X5","natural",7
"X6","sd",6
"X7","sd",7
"X8","quantile",7
"X9","quantile",7
"X10","quantile",7
"X11","equal",7
"X12","natural",7
"X13","equal",7
"X14","sd",7
